"Source:","C:\Users\DOC\Desktop\Facul\KiCad\digiKey\digiKey.kicad_sch"
"Date:","6/14/2023 5:55:20 PM"
"Tool:","Eeschema 7.0.2"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","13"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","10uF","C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Polarized capacitor","",""
"C2","1","100uF","C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","Polarized capacitor","",""
"D1, D2","2","RED","LED","LED_THT:LED_D3.0mm","Light emitting diode","",""
"Q1","1","2N3904","2N3904","Package_TO_SOT_THT:TO-92_Inline","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92","",""
"R1, R3","2","22k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R2","1","330k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R4","1","100k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R5, R6","2","100","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"R7","1","10k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor","",""
"U1","1","NE555P","NE555P","Package_DIP:DIP-8_W7.62mm","Precision Timers, 555 compatible,  PDIP-8","",""
